2014-09-03 02:28:48 Debug: Notice (8): Undefined index: id_historial in [C:\localhost\www\historial_clinico\app\controllers\historial_paciente_controller.php, line 207]
2014-10-11 15:56:31 Debug: Notice (8): Undefined index: ciudad_pk  in [C:\localhost\www\historial_clinico\cake\libs\model\model.php, line 1329]
2014-10-11 16:15:39 Debug: Notice (8): Undefined index: ciudad_pk  in [C:\localhost\www\historial_clinico\cake\libs\model\model.php, line 1329]
2014-10-11 16:15:39 Debug: Notice (8): Undefined index: asentamiento_pk  in [C:\localhost\www\historial_clinico\cake\libs\model\model.php, line 1329]
2014-10-11 16:21:25 Debug: Notice (8): Undefined index: ciudad_pk  in [C:\localhost\www\historial_clinico\cake\libs\model\model.php, line 1329]
2014-10-11 16:21:25 Debug: Notice (8): Undefined index: asentamiento_pk  in [C:\localhost\www\historial_clinico\cake\libs\model\model.php, line 1329]
2014-10-11 16:41:40 Debug: Notice (8): Undefined index: asentamiento_pk  in [C:\localhost\www\historial_clinico\cake\libs\model\model.php, line 1329]
2014-10-11 16:53:37 Debug: Notice (8): Undefined index: asentamiento_pk  in [C:\localhost\www\historial_clinico\cake\libs\model\model.php, line 1329]
2014-10-12 01:04:23 Debug: Notice (8): Undefined offset: 0 in [C:\localhost\www\historial_clinico\cake\libs\model\datasources\dbo_source.php, line 2174]
2014-10-12 01:05:51 Debug: Notice (8): Undefined offset: 0 in [C:\localhost\www\historial_clinico\cake\libs\model\datasources\dbo_source.php, line 2174]
2014-10-12 01:09:25 Debug: Notice (8): Undefined offset: 0 in [C:\localhost\www\historial_clinico\cake\libs\model\datasources\dbo_source.php, line 2174]
2014-10-12 01:09:46 Debug: Notice (8): Undefined offset: 0 in [C:\localhost\www\historial_clinico\cake\libs\model\datasources\dbo_source.php, line 2174]
2014-10-12 01:22:55 Debug: Notice (8): Undefined index: AND in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 56]
2014-10-12 01:22:55 Debug: Notice (8): Undefined offset: 0 in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 56]
2014-10-12 01:31:28 Debug: Notice (8): Undefined variable: conditions in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 59]
2014-10-12 01:31:28 Debug: Notice (8): Undefined variable: conditions in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 60]
2014-10-12 01:33:30 Debug: Notice (8): Array to string conversion in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 57]
2014-10-12 01:34:01 Debug: Notice (8): Array to string conversion in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 57]
2014-10-12 01:36:28 Debug: Notice (8): Array to string conversion in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 57]
2014-10-12 01:50:23 Debug: Notice (8): Undefined variable: palabra in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 34]
2014-10-12 22:08:34 Debug: Notice (8): Undefined index: pvlave in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 26]
2014-10-12 22:08:58 Debug: Notice (8): Undefined index: pvlave in [C:\localhost\www\historial_clinico\app\controllers\consultas_controller.php, line 26]
2014-10-13 04:02:12 Debug: Notice (8): Undefined index: ciudad_pk  in [C:\localhost\www\historial_clinico\cake\libs\model\model.php, line 1329]
2014-10-13 14:51:15 Debug: Notice (8): Undefined property: UsersController::$Areas in [C:\localhost\www\historial_clinico\app\controllers\users_controller.php, line 29]
2014-10-13 15:47:54 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-14 01:58:38 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-14 13:13:10 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-14 23:27:15 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-15 14:35:06 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-15 14:48:41 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-17 02:46:02 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-17 03:10:26 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-17 03:11:51 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-17 03:12:12 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-17 03:16:02 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-17 03:17:01 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
2014-10-17 03:17:46 Debug: Notice (8): Undefined index: id_municipio in [C:\localhost\www\historial_clinico\app\views\historial_paciente\captura.ctp, line 508]
